query,intent,product_fit,target_page,decision,reason,source,google_metrics_status
365 days photo app,unclear,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 2; pilot-v2/keywords_enriched_v2.csv row 2,not_collected_no_paid_checks
appearance progress tracker,outcome_specific_tracker,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 15; pilot-v2/keywords_enriched_v2.csv row 15,not_collected_no_paid_checks
ascend ai,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 16.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 16; pilot-v2/keywords_enriched_v2.csv row 16,not_collected_no_paid_checks
beard growth tracker,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 17; pilot-v2/keywords_enriched_v2.csv row 17,not_collected_no_paid_checks
beauty progress tracker,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 18; pilot-v2/keywords_enriched_v2.csv row 18,not_collected_no_paid_checks
before,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 19.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 19; pilot-v2/keywords_enriched_v2.csv row 19,not_collected_no_paid_checks
before after face app,one_off_editor,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 20.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 20; pilot-v2/keywords_enriched_v2.csv row 20,not_collected_no_paid_checks
before after photo app,one_off_editor,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 21.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 21; pilot-v2/keywords_enriched_v2.csv row 21,not_collected_no_paid_checks
before and after photos,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 22.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 22; pilot-v2/keywords_enriched_v2.csv row 22,not_collected_no_paid_checks
bmi tracker,progress_timeline,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 23.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 23; pilot-v2/keywords_enriched_v2.csv row 23,not_collected_no_paid_checks
body,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 24.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 24; pilot-v2/keywords_enriched_v2.csv row 24,not_collected_no_paid_checks
body before after,one_off_editor,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 25.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 25; pilot-v2/keywords_enriched_v2.csv row 25,not_collected_no_paid_checks
body cam,unclear,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 26.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 26; pilot-v2/keywords_enriched_v2.csv row 26,not_collected_no_paid_checks
body measurement tracker,outcome_specific_tracker,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 27; pilot-v2/keywords_enriched_v2.csv row 27,not_collected_no_paid_checks
body progress photos,progress_timeline,current_product_fit,/progress-photos/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 28; pilot-v2/keywords_enriched_v2.csv row 28,not_collected_no_paid_checks
body progress tracker,outcome_specific_tracker,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 29; pilot-v2/keywords_enriched_v2.csv row 29,not_collected_no_paid_checks
body progress video,progress_timeline,current_product_fit,/photo-progress-video/,supporting,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 30; pilot-v2/keywords_enriched_v2.csv row 30,not_collected_no_paid_checks
body scan,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 31.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 31; pilot-v2/keywords_enriched_v2.csv row 31,not_collected_no_paid_checks
body scanner,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 32.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 32; pilot-v2/keywords_enriched_v2.csv row 32,not_collected_no_paid_checks
body tracker,progress_timeline,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 33; pilot-v2/keywords_enriched_v2.csv row 33,not_collected_no_paid_checks
body transformation tracker,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 34; pilot-v2/keywords_enriched_v2.csv row 34,not_collected_no_paid_checks
bodybuilding progress photos,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 35; pilot-v2/keywords_enriched_v2.csv row 35,not_collected_no_paid_checks
cam,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 36.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 36; pilot-v2/keywords_enriched_v2.csv row 36,not_collected_no_paid_checks
care,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 37.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 37; pilot-v2/keywords_enriched_v2.csv row 37,not_collected_no_paid_checks
change,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 38.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 38; pilot-v2/keywords_enriched_v2.csv row 38,not_collected_no_paid_checks
checker,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 39.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 39; pilot-v2/keywords_enriched_v2.csv row 39,not_collected_no_paid_checks
coach,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 40.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 40; pilot-v2/keywords_enriched_v2.csv row 40,not_collected_no_paid_checks
compare,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; One-word competitor-extracted term is too broad without exact SERP evidence. Evidence: pilot-v2/keywords_canonical.csv row 41.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 41; pilot-v2/keywords_enriched_v2.csv row 41,not_collected_no_paid_checks
complexion tracker,progress_timeline,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 42; pilot-v2/keywords_enriched_v2.csv row 42,not_collected_no_paid_checks
create,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 43.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 43; pilot-v2/keywords_enriched_v2.csv row 43,not_collected_no_paid_checks
daily,daily_photo_journal,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 44.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 44; pilot-v2/keywords_enriched_v2.csv row 44,not_collected_no_paid_checks
daily diary,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 45; pilot-v2/keywords_enriched_v2.csv row 45,not_collected_no_paid_checks
daily face photo,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 46; pilot-v2/keywords_enriched_v2.csv row 46,not_collected_no_paid_checks
daily memories app,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 47; pilot-v2/keywords_enriched_v2.csv row 47,not_collected_no_paid_checks
daily photo diary,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 48; pilot-v2/keywords_enriched_v2.csv row 48,not_collected_no_paid_checks
daily photo journal,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 49; pilot-v2/keywords_enriched_v2.csv row 49,not_collected_no_paid_checks
daily photo reminder,daily_photo_journal,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 50.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 50; pilot-v2/keywords_enriched_v2.csv row 50,not_collected_no_paid_checks
daily picture app,daily_photo_journal,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 51.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 51; pilot-v2/keywords_enriched_v2.csv row 51,not_collected_no_paid_checks
daily selfie app,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 52; pilot-v2/keywords_enriched_v2.csv row 52,not_collected_no_paid_checks
daily snapshot app,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 53; pilot-v2/keywords_enriched_v2.csv row 53,not_collected_no_paid_checks
day,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 54.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 54; pilot-v2/keywords_enriched_v2.csv row 54,not_collected_no_paid_checks
diary journal,daily_photo_journal,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 55.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 55; pilot-v2/keywords_enriched_v2.csv row 55,not_collected_no_paid_checks
everyday selfie tracker,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 56; pilot-v2/keywords_enriched_v2.csv row 56,not_collected_no_paid_checks
face a day app,unclear,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 57; pilot-v2/keywords_enriched_v2.csv row 57,not_collected_no_paid_checks
face comparison app,one_off_editor,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 58.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 58; pilot-v2/keywords_enriched_v2.csv row 58,not_collected_no_paid_checks
face photo tracker,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 59; pilot-v2/keywords_enriched_v2.csv row 59,not_collected_no_paid_checks
face progress photos,AI_photo_editing,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 60.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 60; pilot-v2/keywords_enriched_v2.csv row 60,not_collected_no_paid_checks
facial,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 61.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 61; pilot-v2/keywords_enriched_v2.csv row 61,not_collected_no_paid_checks
fat,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 62.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 62; pilot-v2/keywords_enriched_v2.csv row 62,not_collected_no_paid_checks
fitness,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 63.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 63; pilot-v2/keywords_enriched_v2.csv row 63,not_collected_no_paid_checks
fitness app,unclear,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 64.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 64; pilot-v2/keywords_enriched_v2.csv row 64,not_collected_no_paid_checks
fitness photo diary,daily_photo_journal,current_product_fit,/progress-photos/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 65; pilot-v2/keywords_enriched_v2.csv row 65,not_collected_no_paid_checks
fitness progress pictures,progress_timeline,current_product_fit,/progress-photos/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 66; pilot-v2/keywords_enriched_v2.csv row 66,not_collected_no_paid_checks
fitness progress tracker,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 67; pilot-v2/keywords_enriched_v2.csv row 67,not_collected_no_paid_checks
fitness tracker,progress_timeline,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 68.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 68; pilot-v2/keywords_enriched_v2.csv row 68,not_collected_no_paid_checks
fitness transformation app,unclear,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 69.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 69; pilot-v2/keywords_enriched_v2.csv row 69,not_collected_no_paid_checks
friends,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 70.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 70; pilot-v2/keywords_enriched_v2.csv row 70,not_collected_no_paid_checks
glass,unclear,wrong_intent,,exclude,Pilot-v2 status=competitor_brand; Competitor brand or brand-like navigation term from extraction. Evidence: pilot-v2/keywords_canonical.csv row 71.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 71; pilot-v2/keywords_enriched_v2.csv row 71,not_collected_no_paid_checks
glow up tracker,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 72; pilot-v2/keywords_enriched_v2.csv row 72,not_collected_no_paid_checks
gratitude,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 73.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 73; pilot-v2/keywords_enriched_v2.csv row 73,not_collected_no_paid_checks
guide,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 74.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 74; pilot-v2/keywords_enriched_v2.csv row 74,not_collected_no_paid_checks
gym,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 75.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 75; pilot-v2/keywords_enriched_v2.csv row 75,not_collected_no_paid_checks
gym progress tracker,outcome_specific_tracker,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 76.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 76; pilot-v2/keywords_enriched_v2.csv row 76,not_collected_no_paid_checks
habit tracker,progress_timeline,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 77.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 77; pilot-v2/keywords_enriched_v2.csv row 77,not_collected_no_paid_checks
habits,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 78.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 78; pilot-v2/keywords_enriched_v2.csv row 78,not_collected_no_paid_checks
hair,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 79.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 79; pilot-v2/keywords_enriched_v2.csv row 79,not_collected_no_paid_checks
hair growth progress,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 80; pilot-v2/keywords_enriched_v2.csv row 80,not_collected_no_paid_checks
hair progress tracker,progress_timeline,current_product_fit,/progress-photos/,supporting,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 81; pilot-v2/keywords_enriched_v2.csv row 81,not_collected_no_paid_checks
health,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 82.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 82; pilot-v2/keywords_enriched_v2.csv row 82,not_collected_no_paid_checks
health scanner,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 83.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 83; pilot-v2/keywords_enriched_v2.csv row 83,not_collected_no_paid_checks
health tracker,progress_timeline,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 84.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 84; pilot-v2/keywords_enriched_v2.csv row 84,not_collected_no_paid_checks
hype,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 85.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 85; pilot-v2/keywords_enriched_v2.csv row 85,not_collected_no_paid_checks
